
譯ハ゜ーティーは全滅しました！{0x5}{0x0}{0xf},  0x31d
≠攻撃力{0x3}{0xe}{0x2}打撃力{0x3}{0x4}{0x4}ｋｒｉ値{0x3}{0xe}{0x4}追加ｄｍ{0x3}{0x4}{0x6}回避力{0x3}{0xe}{0x6}防御力{0xf}{0xe}{0x2}{0x0}{0xe}{0x1}{0x0}{0x3}{0x9}{0x2}{0x3}{0x14}{0x2}{0x6}{0x1e}{0x0}{0x1}{0x4}{0x3}{0xa}{0x4}{0x6}{0x1e}{0x0}{0x1}{0x4}{0x3}{0x14}{0x4}{0x6}{0x1e}{0x0}{0x1}{0x4}{0x3}{0x9}{0x6}{0x3}{0x14}{0x6}{0x6}{0x1e}{0x0}{0x1}{0x4}{0xf},  0x1e109
┣Λ{0x0}{0xc}{0x1a}{0x6}廾{0xa}く{0xa},  0x1e12f
痳艪窒,  0x1e147
秡げ{0x2}{0x1b}{0x6}{0x18}繝,  0x1e299
竇轤装備していません！{0x5}{0x0}{0xf}{0x0}{0x0}{0x4}{0xa}{0x1}{0x1}{0x1}{0x0}{0x0}{0x1}{0x0}{0x2}{0x9}{0x1}{0x9}{0x17}{0x11}{0x0}{0x1}{0xf}{0xe}{0x1}{0xe}{0x2}両手{0xe}{0x1}{0x0}{0xe}{0x2}{0x0}{0xf}{0xe}{0x1}{0xe}{0x2}右手{0xe}{0x1}{0x0}{0xe}{0x2}{0x0}{0xf}{0xe}{0x1}{0xe}{0x2}左手{0xe}{0x1}{0x0}{0xe}{0x2}{0x0}{0xf}{0xe}{0x1}{0xe}{0x2}胴体{0xe}{0x1}{0x0}{0xe}{0x2}{0x0}{0xf}{0xe}{0x1}{0xe}{0x2}ａｔ{0xe}{0x1}{0x0}{0xe}{0x2}{0x0}{0xf},  0x1e367
艪窒{0x0}{0x0}{0x2}{0x2}{0x15}{0x6}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x5}{0x2}戦闘中に{0x4}ヨロイの変更はて゛きません！{0x5}{0x0}{0xf},  0x1e6bf
銀懊謔黼艪窒{0x0}{0x0}{0x2}{0x2}{0x15}{0x6}{0x3}{0x0}{0x0}{0x1}{0x0}{0x2}{0x5}{0x2}持物か゛いっは゜いて゛{0x4}はす゛せません！{0x5}{0x0}{0xf},  0x1eb02
‥オートマッヒ゜ンク゛{0xf}{0x0}{0x0}{0x1}{0x2}{0x0}{0x0}{0x0}{0x0}{0x1}{0x2}{0x4}{0x0}{0x0}{0x1}{0x2}{0x8}{0x0}{0x0}{0x1}{0x2}{0xc}{0x0}{0x0}{0x1}{0x2}{0x10}{0x0}{0x0}{0x1}{0x2},  0x1f7ce
烽〔{0xe}{0x2}こんにゃろー！{0x4}けんか売ってんのかテヤンテ゛ー{0xd}{0xf},  0x20e93
烽〔{0xe}{0x2}イテー！{0x4}おほ゛えてやか゛れ！{0xd}{0xf}巡{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x18}褐{0x0}ｋ{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0},  0x20ef4
烽〔{0xe}{0x2}おいおい！{0x4}キュアーウーンス゛かよ。{0x4}まいったなー。{0xd}{0xf},  0x20f98
烽〔{0xe}{0x2}今度はトランスファーかよ。{0x4}しょうか゛ねーなー。{0xd}{0xf}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0},  0x2105d
烽オレの大事な{0x4}父のかたみのオヤシ゛ソート゛を{0x4}変えろというのか？{0x4}こまったなー。{0xd}{0xf}ｉ{0x0}{0x1c}{0x0}{0x12}{0x0}{0x10}秤{0x0}{0x0}{0x0}栫{0x0}{0x3}視{0x0}{0x4}{0x0}螟{0x0}{0x13}{0x0}鼡{0x0},  0x210fb
桿烽桷{0xe}{0x0}{0xe}{0x2}経験点{0x6}{0x5}{0x0}{0x2}を得た。{0xd}{0xe}{0x0}{0x1}{0xf},  0x21e6f
桿烽譚{0xe}{0x0}{0xe}{0x2}{0x6}{0x1b}{0x0}{0x2}カ゛メルを手に入れた。{0xe}{0x0}{0x1}{0xd}{0xf},  0x21efa
烽揆{0xe}{0x0}{0xe}{0x2}{0x6}{0x1b}{0x0}{0x2}カ゛メルをわたした。{0xd}{0xe}{0x0}{0x1}{0xf},  0x21f3f
を手に入れた。{0xf},  0x21fac
ヅを手に入れた。{0xf}{0x6}{0x1}{0x1}{0x1}{0xf}{0x0}{0x6}{0x0}{0x1}{0x1}{0xf}{0x0}{0x6}{0x1}{0x1}{0x6}{0x0}{0x10}{0xf}{0x0}{0x6}{0x0}{0x1}{0xf}{0x0}{0xe}{0x0}{0x0}{0xf}{0x0}{0x1}{0x0}{0xe}{0x0}{0x0}{0x1}{0x1}{0xe}{0x0}{0x0}{0x1}{0x2}{0xe}{0x0}{0x0}{0x1}{0x3}{0xe}{0x0}{0x0}{0x1}{0x0}{0xf}{0x0}{0x6}〔{0x6}{0x8}束{0x6}{0x8},  0x22057
け官{0x0}{0x0}{0x0}{0x0}脹埀{0xc}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0x0}{0xd}{0x1}{0x0}{0x0}{0x1}{0x0}{0x0}{0x1}{0x0}{0xd}{0x0}{0x1}{0x0}{0x0}{0x1}{0x0}{0x0}{0x1}{0x0}{0x0}{0x1}{0x0}{0x0}{0x1}{0x0}{0x0}{0x1}{0x0}{0x0},  0x22f5c
浩桷{0x1e}桷,  0x22fd1
強塘塘韋韋韋,  0x23003
か逗Ｅ,  0x23045
〔廾逗く艪窒,  0x2309f
弉弘マッフ゜コントロール{0x4}シナリオコントロール{0x4}スフ゜ライトルック{0x4}セリフチェック{0x4}ミューシ゛ックチェンシ゛{0xf},  0x23143
慌マッフ゜コントロール{0xe}{0x1}{0x0}{0x3}{0x5}{0x4}ＭＡＰ＝{0x6},  0x23205
Ｘ　＝{0x6}{0x6}{0x0}{0x1}{0x3}　　Ｙ　＝{0x6}{0x6}{0x0}{0x1}{0x3}{0x8}{0xc}{0x9}{0x6}{0x3}{0x8}{0x7}{0xd}{0x6}{0x3}{0x8}{0x11}{0xd}{0x6}{0x3}{0x8}{0xc}{0x11}{0x6}{0x3}{0x3}{0xd}{0x9}Ｕ{0x6}{0x5}{0x0}{0x1}{0x3}{0x3}{0x8}{0xd}Ｌ{0x6}{0x5}{0x0}{0x1}{0x3}{0x3}{0x12}{0xd}Ｒ{0x6}{0x5}{0x0}{0x1}{0x3}{0x3}{0xd}{0x11}Ｄ{0x6}{0x5}{0x0}{0x1}{0x3}{0xf},  0x2326a
艪園ＭＡＰ＝{0x6}{0x0}{0x0}{0x0}{0x1}{0x3}{0x5}{0x0}{0xf}{0xf},  0x232c1
艪墾園Ｘ　＝{0x6}{0x0}{0x0}{0x0}{0x1}{0x3}　　Ｙ　＝{0x6}{0x2}{0x0}{0x0}{0x1}{0x3}{0x5}{0x0}{0xf},  0x233b4
慌盞シナリオコントロール{0xe}{0x1}{0x0}{0x3}{0x5}{0x4}シナリオナンハ゛ー　　{0x6}{0x6}{0x0}{0x1}{0x4}{0x4}シナリオフラク゛{0x4}{0x4}{0x4}クリアーフラク゛{0xf},  0x234ca
艪園シナリオナンハ゛ー　　{0x6}{0x0}{0x0}{0x0}{0x1}{0x4}{0x5}{0x0}{0xf}{0xf},  0x23536
康況Ｅじ,  0x23557
痰痰艪園シナリオフラク゛{0x5}{0x0}{0xf}{0x0},  0x235a9
Ｅじ,  0x235f8
痰痰艪園クリアーフラク゛{0x5}{0x0}{0xf}{0x0},  0x2364a
Р韋韋威,  0x23743
スフ゜ライトルック{0xe}{0x1}{0x0}{0x3}{0x6}{0x4}０〜２５５{0x3}{0xe}{0x4}２５６〜５１１{0x3}{0x6}{0x6}０　１　２　３　４　５　６　７{0x3}{0x4}{0x8}０{0x3}{0x4}{0xa}１{0x3}{0x4}{0xc}２{0x3}{0x4}{0xe}３{0x3}{0x4}{0x10}４{0x3}{0x4}{0x12}５{0x3}{0x4}{0x14}６{0x3}{0x4}{0x16}７{0xf},  0x23822
Ａ逗く丙{0x0}艪窒,  0x23890
慌セリフチェック{0xe}{0x1}{0x0}{0x3}{0x5}{0x4}セリフナンハ゛ー　{0x6}{0x0}{0x0}{0x0}{0x2}{0x2}{0x3}{0x5}{0x6}セリフカウント　{0x6}{0x2}{0x0}{0x0}{0x2}{0x2}{0x3}{0x5}{0x8}セリフインクリメント{0xf},  0x23921
艪園セリフナンハ゛ー　{0x6}{0x0}{0x0}{0x0}{0x2}{0x2}{0x5}{0x0}{0xf}{0xf}{0x2},  0x239a0
艪園セリフカウント　{0x6}{0x2}{0x0}{0x0}{0x2}{0x2}{0x5}{0x0}{0xf}{0xf}{0xd},  0x239ff
慌ミューシ゛ックチェンシ゛{0xe}{0x1}{0x0}{0x3}{0x5}{0x4}ミューシ゛ックナンハ゛ー　　{0x6}{0x1e}{0x0}{0x1}{0x3}{0xf},  0x23b2d
艪園ミューシ゛ックナンハ゛ー　　{0x6}{0x0}{0x0}{0x0}{0x1}{0x3}{0x5}{0x0}{0xf}{0xf},  0x23b97
誰か゛レヘ゛ルアッフ゜しますか？{0xf}{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x1}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x6}{0x5}{0x2}{0xf}{0xe}{0x2}は{0x4}レヘ゛ルアッフ゜て゛きません！{0x5}{0x0}{0xf},  0x23d4a
あ馘уＩ弉菫く慌艪窒豌{0x1}謔,  0x23dda
朕朕技能レヘ゛ルを上け゛る{0x4}能力値を上け゛る{0xf}{0x1}{0x2}{0x4}{0x3}{0x2}{0x8}{0x3}{0x4},  0x23e36
と゛のレヘ゛ルを上け゛ますか？{0x9}{0x1}{0x7}{0x6}{0x6}{0x0}{0x1}{0xf},  0x243fa
謔技能を{0x4}レヘ゛ル{0x6}{0x5}{0x0}{0x1}に上け゛ますか？{0xf},  0x246b3
ファイター{0xf}シーフ{0xf}レンシ゛ャー{0xf}セーシ゛{0xf}ハ゛ート゛{0xf}ソーサラー{0xf}シャーマン{0xf}フ゜リースト{0xf},  0x2472d
Ｉ┼謔艪窒{0x0}{0x0}{0x2}{0x2}{0x15}{0x4}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x5}{0x2}{0xf}技能の{0x4}レヘ゛ルは最高て゛す！{0x5}{0x0}{0xf},  0x2478e
謔艪窒{0x0}{0x0}{0x2}{0x2}{0x15}{0x4}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x5}{0x2}{0xf}の{0x4}値は最高て゛す！{0x5}{0x0}{0xf},  0x247e5
謔艪窒{0x0}{0x0}{0x2}{0x2}{0x15}{0x4}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x5}{0x2}経験点か゛たりません！{0x5}{0x0}{0xf},  0x2482a
謔をに上け゛ますか？{0xf},  0x24882
Ｌ器用度{0xf}敏捷度{0xf}知力{0xf}筋力{0xf}生命力{0xf}精神力{0xf},  0x248c8
攻と゛の能力値を上け゛ますか？{0x9}{0x1}{0x7}{0x6}{0x6}{0x0}{0x1}{0xf},  0x24968
呪歌を選択してくた゛さい{0x9}{0x1}{0x7}{0x6}{0x6}{0x0}{0x1}{0x9}{0x8}{0x7}{0x1}{0x10}{0x1}{0x0}{0x0}{0x9}{0x7}{0xe}{0x10}{0x2}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x3}{0x9}{0x8}{0xf},  0x24be3
モラル{0x4}{0xf}ヒ゜ース{0x4}{0xf}レシ゛スタンス{0x4}{0xf}ララハ゛イ{0x4}{0xf}シンク゛{0x4}{0xf}タ゛ンス{0x4}{0xf}レクイエム{0x4}{0xf},  0x24c3a
信仰神を選択してくた゛さい{0x9}{0x1}{0x7}{0x6}{0x6}{0x0}{0x1}{0x9}{0x8}{0x7}{0x1}{0x10}{0x1}{0x0}{0x0}{0x9}{0x7}{0xe}{0x10}{0x2}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x4}ファリス{0x4}マイリー{0x4}ラータ゛{0x4}チャ・サ゛{0x4}マーファ{0xf},  0x24d19
弘´話をする{0x4}装備を買う{0x4}装備を売る{0xf}{0x1}{0x3}{0x4}{0x3}{0x2}{0xc}{0x3}{0x4}{0x8}{0x3}{0x6},  0x24dbd
誰の装備を買いますか？{0xf},  0x24e1d
慌∃武器を買う{0x4}タテを買う{0x4}ヨロイを買う{0xf}{0x1}{0x3}{0x4}{0x3}{0x2}{0xc}{0x3}{0x4}{0x8}{0x3}{0x6},  0x24ecd
拘貫短剣{0x3}{0x9}{0x2}片手剣{0x3}{0x10}{0x2}両手剣{0x3}{0x4}{0x4}オノ{0x3}{0x9}{0x4}ヤリ{0x3}{0x10}{0x4}打撃武器{0x3}{0x4}{0x6}弓{0x3}{0x9}{0x6}矢{0xf}{0x3}{0x3}{0x5}{0x3}{0x2}{0x7}{0x8}{0x2}{0x6}{0xf}{0x2}{0xd}{0x3}{0x4}{0xf}{0x8}{0x4}{0xe}{0xf}{0x4}{0x9}{0x3}{0x6}{0xb}{0x8}{0x6}{0x10}{0x5}{0x7},  0x24f8b
驛黹逗か焙持物か゛いっは゜いて゛す！{0x5}{0x0}{0xf},  0x25034
逗か焙装備て゛きません！{0x5}{0x0}{0xf},  0x25086
弑鶚短剣{0xf},  0x250b0
弑鶚片手剣{0xf},  0x250dc
弑鶚両手剣{0xf},  0x25108
弑鶚オノ{0xf},  0x25132
弑鶚ヤリ{0xf},  0x2515c
弑鶚打撃武器{0xf},  0x2518a
弑鶚弓弑鶚矢弑鸛タテ{0xf},  0x25201
弑鸛ヨロイ{0xf},  0x2522c
Ο勒ю{0x19}痲{0x1c},  0x25251
游均听{0x18},  0x25272
Ｉ項か辺,  0x252e1
い繝竇り閠罠,  0x2530f
Ｅか焉艪蔔ひ,  0x2535c
攻咲俑弌韋逗態く繝{0x1b}{0x0}{0xa}{0xa}{0xa}{0xa}{0xa},  0x2541e
崎Ｅ艪窒,  0x2546d
筋力{0x3}{0x5}{0x6}必要筋力{0xf}{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x1}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0xa}{0xf},  0x254a4
赱Я{0xe}{0x1}{0x0}{0x3}{0x12}{0x4}{0x6}{0x1e}{0x0}{0x1}{0x4}{0x3}{0x12}{0x6}{0x6}{0x1b}{0x0}{0x1}{0x4}{0xf},  0x25534
ュо熏逗く繝,  0x2557a
か赱┼{0x1}{0x0},  0x2559b
を買いますか？{0xf},  0x255cb
逗く繝,  0x255e7
かを装備しますか？{0xf},  0x2562c
弉逗驛,  0x25639
艪窒肴{0x5},  0x25658
かュ,  0x25674
項か焉艪蔔ひ,  0x256e4
逗ぇ慌{0xa}{0xa},  0x25700
咲繝,  0x2570c
芦黹焙個の装備か゛あります{0x4}何を売りますか？{0x0}{0x0}{0x0}{0x1}{0x1}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x9}{0x0}{0xf}{0x1}{0xf}{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x1}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x8}{0xf}{0xe}{0x2}を{0x4}売りますか？{0xf}{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x4}{0x5}{0x2}売る装備か゛ありません！{0x5}{0x0}{0xf},  0x257fd
話をする{0x4}宿泊する{0x4}レヘ゛ルを上け゛る{0xf}{0x1}{0x4}{0x4}{0x3}{0x2}{0xc}{0x3}{0x4}{0x8}{0x3}{0x6},  0x25987
Ｌ技能ハ゛ランスの良いハ゜ーティを組むと、{0x4}冒険か゛やりやすくなると思うよ。{0xd}{0xf}{0xe}{0x2}人から聞いた情報は{0x4}ちゃんと覚えておいたほうか゛いいそ゛。{0xd}{0xf}{0xe}{0x2}泊まりかい。{0x4}ひとは゛ん眠ったら{0x4}精神的に楽になるよ。{0xd}{0xf}{0xe}{0x2}あれこれと技能レヘ゛ルを上け゛す゛に、{0x4}個人の役わりをはっきりさせたほうか゛{0x4}いいと思うよ。{0xd}{0xf}{0xe}{0x2}技能レヘ゛ルか゛高くなるほと゛、{0x4}次のレヘ゛ルに上か゛るには{0x4}多くの経験点か゛必要になるよ。{0xd}{0xf}{0x2}{0xb},  0x25b7b
宿泊しますか？{0xf}{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x6}もう一泊しますか？{0xf},  0x25cb3
の生命力は{0x6},  0x25d5f
点回復した{0x4}精神力は完全に回復した{0xf}の{0x4}生命力は完全に回復した{0x4}精神力は完全に回復した{0xf}の{0x4}生命力は回復しなかった{0x4}精神力は完全に回復した{0xf},  0x25de8
鞏鳧陟{0x6},  0x25e22
韋狛Ｌ游┣{0x4}听,  0x25f99
逗艪窒{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x4}{0x5}{0x2}所持金か゛たりません{0x5}{0x0}{0xf},  0x25fe6
鉅鳰{0x2}{0x3}{0x4}{0x5}{0x6}{0x7}贋{0x8}{0x9}{0xa}{0xe}{0x10}{0x11}{0x15}{0x16}{0x17}{0x18}{0x1c}{0x1d}{0x1e}仙{0x1f}{0x16},  0x26473
萵澎{0x0}{0xf}{0x2}澎{0x0}{0xf},  0x2649d
贋澹{0x0}{0x3}{0x0}{0x3}{0x0}{0x6}{0x5}澹{0x0}{0x3}{0x3}{0x0}{0x3}{0x5}{0x0}{0x3},  0x264c4
澹澹澹{0x0}{0x3}{0x3}{0x0}{0x6}{0x5}澹{0x0}{0x3}{0x3}{0x0}{0x3},  0x26503
菎蛟蟆裄濱{0x0}{0xf}{0xa}濱{0x0}{0xf}{0xb}蚪{0x0}{0xa}{0x8}潼{0x0}{0x1e}{0x9},  0x2659e
潼仙蕷{0x0}{0x14}{0xb}{0x0}{0x14}{0xb}{0x16}豌觧觸觧訌躬觧贇{0x0}錙鏤{0x6}饂觧訝阮鏤觧觧謳饂觧觧觧觧{0x0}{0x4}{0x1}{0xa}{0x0}{0x2}{0x9}{0x0}{0x4}{0x1}{0xa},  0x2667c
貽ヂ,  0x266c0
綟ヂЭヂ綟ヂЭヂ綟ヂЭ贍{0x0}{0x4}{0xa},  0x26766
隨釟韭顏{0x0}{0x4}{0xf}{0x8}康{0x11}婆{0x0}{0x4}{0xf}婆{0x8}康{0x11}{0x0}{0x4}{0xf}{0x11}婆{0x8}康{0x0}{0x4}{0xf}康{0x11}婆{0x8}顏{0x0}{0x4}{0x0}渦鸞{0x0}{0x3}{0x0},  0x268a8
шшぇу韋韋韋韋{0x9}{0x0}{0x4}{0x0}{0x0}{0x0}{0x0}{0x9}{0x0}{0xf}{0x0}{0x18}{0x0}{0x0}{0x0}{0x9}{0x0}{0x1a}{0x0}{0x0}{0x0}{0x15},  0x279e1
威威威威烝烝韋威{0x0},  0x27b06

紹菖裳擠{0xc}{0x0}{0x1e}廩{0x1e},  0x2aeea
恒渉控{0x1e},  0x2af08
抗焼昂{0x1e}聆{0x0}省,  0x2af28
恒抗裳沼か后{0x1e},  0x2afa3
坑谿仰かかか{0x0}蹟徂{0x1e}{0x0}{0x1e},  0x2b013
沼渉焼,  0x2b025
紹菖裳擠{0xc}{0x0}{0x1e}廩{0x1e},  0x2b05a
恒渉控{0x1e},  0x2b078
抗焼昂{0x1e}聆{0x0}省,  0x2b098
恒抗裳沼か后{0x1e},  0x2b113
坑仰かかか{0x0}蹟徂{0x1e}{0x0}{0x1e},  0x2b183
沼渉焼,  0x2b195
紹菖裳擠{0xc}{0x0}{0x1e}廩{0x1e},  0x2b1ca
恒渉控{0x1e},  0x2b1f4
抗焼昂{0x1e}聆顱{0x0}{0x0}省,  0x2b218
恒抗鯛裳沼か后{0x1e},  0x2b28d
坑仰か將かか{0x0}蹟徂{0x1e}{0x0}{0x1e},  0x2b2fd
沼渉焼,  0x2b30f
紹菖裳擠{0xc}{0x0}{0x1e}廩{0x1e},  0x2b344
恒渉控{0x1e},  0x2b36e
抗焼昂{0x1e}聆顱{0x0}{0x0}省,  0x2b392
恒抗矣莎,  0x2b3d7
裳沼か后{0x1e},  0x2b407
坑仰かかか{0x0}蹟徂{0x1e}{0x0}{0x1e},  0x2b477
沼渉恒抗控昂聆{0x0}省{0x0}裳撩{0x1e},  0x2b4b5
巷渉恒抗垂裳沼裡か后{0x1e},  0x2b58b
坑仰か將か{0x0}蹟徂{0x1e}{0x0}{0x1e},  0x2b5f0
沼渉恒抗控昂聆{0x0}省{0x0}裳撩{0x1e},  0x2b632
匕渉恒抗銚,  0x2b687
裳沼か后{0x1e},  0x2b6b5
坑仰かい{0x0}{0x0}{0x1e},  0x2b712
后淆湃湍淙,  0x2b73a
坑后湍淙淮薹藕渫湃淆く騾淞{0x0}騾{0x0}淨,  0x2b861
淮渫仰,  0x2b875
かか{0x0}蹟,  0x2b88f
后淆湃湍坑廩{0x1e},  0x2b8d5
后湍淞淨薹藕渫湃淆く工{0x1e},  0x2b9a2
餘淞,  0x2b9d3
淨淅,  0x2b9e9
渫仰,  0x2b9f6
かか{0x0}蹟,  0x2ba10
后工{0x1e}廱{0x1e},  0x2ba25
坑淆湃湍廸坑后湍淨淕湟渫湃淆巷康く淞淨淅,  0x2bb78
淕湟渫工仰,  0x2bb9d
かか{0x0}蹟,  0x2bbb7
后淆湃湍坑廩{0x1e},  0x2bbf6
后湍淨淕薹藕矣渫湃淆工く淞淨淅,  0x2bd0f
淕渫仰,  0x2bd23
か好{0x1e},  0x2bd44
后淆湃湍坑后湍薹藕渫湃淆反ば蹟好{0x1e},  0x2be56
顱淞{0x0}顱{0x0}淨,  0x2be96
渫仰,  0x2bea3
かか{0x0}蹟,  0x2bebd
后淆湃湍傘軍{0x1e},  0x2bef9
撒祁{0x1e},  0x2bf03
坑廩{0x1e},  0x2bf10
后廛{0x1e},  0x2bf19
湍淞淨薹藕湟渫湃淆項く工{0x1e},  0x2c01b
Ч騾淞,  0x2c060
淨騾{0x0}淅,  0x2c076
湟渫仰,  0x2c08a
かか{0x1}{0x0}好{0x1e},  0x2c0a3
后淆湃湍坑廩{0x1e},  0x2c0ed
后湍淞淨薹藕渙湟渫湃淆く工{0x1e},  0x2c1d4
蹟好鯊淞淨淕,  0x2c22d
渙湟,  0x2c23b
渫仰,  0x2c248
仰仰仰かか{0x0}蹟,  0x2c29b
后淆湃湍坑后湍偲,  0x2c2fa
偲淨薹藕湟渫湃淆偲く騾淞,  0x2c3dd
淨騾{0x0}淅,  0x2c3f3
湟渫仰,  0x2c407
かか{0x0}蹟,  0x2c421
廩后淆湃湍淞,  0x2c459
淨淕工{0x1e}{0x1f}{0x0}{0x18}{0x0}渫,  0x2c47d
棠后淆湃湍坑后湍打,  0x2c4f5
打淞淨淕薹藕渫湃淆打貽后湍淞淕薹藕渫湃淆く淞淨{0x0}淕{0x1f}{0x0}{0x18}{0x0}渫{0x0}{0xa}{0x18}{0x0}淞{0x0}淕{0xf}{0x0}{0x18}{0x8}{0x0}渫{0x8}仰,  0x2c6ea
かか{0x0}蹟,  0x2c704
廩后淆湃湍淞淨淕渙{0x1f}{0x0}{0x18}{0x0}渫,  0x2c753
工坑后湍淞淨淕薹藕渙渫湃淆く淞淨淕渙{0x1f}{0x0}{0x18}{0x0}渫{0x8}仰,  0x2c8ad
かか{0x0}蹟,  0x2c8c7
廩后淆湃湍淞淨淕,  0x2c908
渙渫,  0x2c91e
工勦坑{0x1e},  0x2c947
后湍淞淕薹藕渙渫湃淆く淞淨{0x0}淕,  0x2ca68
渙渫{0x8}仰,  0x2ca84
傘軍{0x1e},  0x2ca92
撒祁{0x1e},  0x2ca9c
蹟廝{0x1e},  0x2caa6
后く項く項Ч仰后竝旺仰后竝旺仰蹟か后{0x1e}吮工{0x1e},  0x2cbe8
旺仰蹟か后{0x1e}吮工{0x1e},  0x2cc20
旺仰蹟か后{0x1e}吮工{0x1e},  0x2cc58
旺仰蹟后竝旺仰蹟后竝旺仰詐裟后矮工{0x1e},  0x2cd04
旺裟{0x1e}詐{0x1e},  0x2cd1c
仰蹟后鈔工{0x1e},  0x2cd39
旺仰蹟后竝{0x1e},  0x2cd66
│仰蹟后纃旺仰蹟后竝旺仰蹟后竝旺仰蹟后竝旺蛹{0xd},  0x2ce2a
仰蹟か后{0x1e},  0x2ce4c
竝旺仰蹟か{0x8}{0x0}后{0x1e},  0x2ce84
竝旺仰蹟か{0x8}{0x0}后{0x1e},  0x2cebc
竝旺仰蹟か后{0x1e},  0x2cef4
竝旺仰ｊ坑廰{0x1e}廸{0x1e},  0x2cf54
ｇ園{0x0},  0x2cfae
広康仰仰港氓,  0x2d045
麾氈气,  0x2d053
汕氣仰港彙{0x1e}徂{0x1e},  0x2d098
麾髻ｇ∞麾,  0x2d0d0
氣紘侑び紗茜,  0x2d12c
氈汕气氛ョ气{0x7},  0x2d173
хＡ茜氓麾弌{0x1e},  0x2d1a8
仰港淞淨淅淙淕,  0x2d1df
淮淆渫湍湃,  0x2d1f9
滿仰港彙{0x1e}徂{0x1e},  0x2d238
渫晴蠶淞淨淅淙淕淮渫滿{0x18},  0x2d2c3
紘湍湃湎湃茜淆渫弌{0x1e},  0x2d367
仰茵泪{0x5}{0x18}{0x8}{0x0}{0x5},  0x2d3ca
仰后喉好,  0x2d3f6
宏悁{0x1e}{0x1d}{0x1e}{0x1d},  0x2d411
仰靫佳惚{0x1e}{0x1e},  0x2d478
亙淆救珞,  0x2d498
佳此亙淞救狡,  0x2d4e5
悁佳惚{0x1e}{0x1e},  0x2d50f
亙檗鯨珞,  0x2d52f
佳此亙檻鯨狡,  0x2d57c
仰坑坑侠侠侠侠侠侠{0x0}権権権権権権{0x0}{0xd}{0xf}{0x11}{0x8}仰{0x1d},  0x2d5e4
蕩諮{0x1e}健{0x1e},  0x2d631
獄仰獄彩漉仰漉彩顱,  0x2d6b8
芙仰彩威,  0x2d6ee
仰芙仰芙仰芙仰芙告穀{0x1e}{0x8}{0x4}{0x5}{0xd}{0x6},  0x2d79e
園恒抗{0x1e}{0x18}{0x1e}控{0x1e}{0x18}{0x1e}昂{0x1e}彁{0x1e},  0x2d80d
